disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2016,"Kepler-1101",,"b",,81.31510590,,0.220,,0.91,,15.9150000,742.4730000,15.1560000
2016,"Kepler-801",,"b",,11.41928253,,0.178,,0.63,,17.0580000,440.4260000,15.5960000
2016,"Kepler-797",,"b",,27.07237711,,0.194,,0.95,,15.6430000,1315.2600000,14.7510000
2016,"Kepler-984",,"b",,43.03422720,,0.189,,0.93,,14.4910000,460.1880000,13.5990000
2014,"Kepler-203",,"b",,3.16269700,0.043000,0.229,,1.11,,14.8840000,703.3020000,14.1400000
2014,"Kepler-206",,"c",,13.13747100,0.111000,0.158,,1.19,,14.4270000,594.4470000,13.5070000
2014,"Kepler-144",,"b",,5.88527300,0.066000,0.119,,1.24,,12.6890000,384.9170000,12.1950000
2014,"Kepler-212",,"c",,31.80517400,0.207000,0.244,,1.46,,13.7760000,687.1940000,13.1290000
2014,"Kepler-252",,"c",,10.84846300,0.080000,0.192,,0.55,,16.9000000,379.4240000,15.4060000
2014,"Kepler-215",,"d",,30.86442300,0.185000,0.213,,1.03,,14.3000000,485.9970000,13.6780000
2014,"Kepler-256",,"c",,3.38802000,0.045000,0.192,,1.30,,15.9090000,1026.4300000,15.1780000
2014,"Kepler-217",,"b",,5.37494300,0.065000,0.199,,1.80,,13.7050000,1104.6400000,13.1550000
2016,"Kepler-794",,"b",,11.13125132,,0.188,,1.38,,14.6010000,931.1920000,13.5990000
2016,"Kepler-790",,"b",,13.73469807,,0.194,,0.80,,16.2790000,703.1680000,15.5340000
2016,"Kepler-1012",,"b",,5.50860439,,0.115,,0.91,,14.3600000,411.0770000,13.4860000
2016,"Kepler-1134",,"b",,17.13263989,,0.236,,0.81,,16.7500000,944.4450000,16.2330000
2016,"Kepler-1071",,"b",,6.17998440,,0.212,,0.81,,16.5250000,1042.2700000,15.8810000
2016,"Kepler-1397",,"b",,47.44995500,,0.153,,1.12,,14.8240000,1198.2500000,14.3240000
2016,"Kepler-1421",,"b",,6.91311120,,0.083,,1.42,,13.9060000,783.4010000,12.8680000
1992,"PSR B1257+12",,"d",0.01227,98.21140000,0.460000,,,,,,600.0000000,
2014,"Kepler-306",,"e",,44.84097500,0.227000,0.203,,0.72,,16.9420000,775.6790000,15.5750000
2016,"Kepler-1472",,"b",,38.13128310,,0.170,,1.25,,15.3840000,1479.1400000,14.6660000
2017,"Kepler-80",,"g",,14.64558000,,0.101,,0.68,,16.3030000,369.4510000,15.2300000
2016,"Kepler-1391",,"b",,54.40923330,,0.150,,1.10,,14.7850000,1038.3500000,13.9060000
